Row Labels,Sum of Global warming: monthly temperature anomaly
1892-11-15,-0.43
1892-12-15,-0.39
1893-01-15,-0.81
1893-02-15,-0.56
1893-03-15,-0.22
1893-04-15,-0.27
1893-05-15,-0.34
1893-06-15,-0.25
1893-07-15,-0.14
1893-08-15,-0.25
1893-09-15,-0.22
1893-10-15,-0.18
1893-11-15,-0.19
1893-12-15,-0.32
1894-01-15,-0.52
1894-02-15,-0.29
1894-03-15,-0.23
1894-04-15,-0.45
1894-05-15,-0.31
1894-06-15,-0.4
1894-07-15,-0.24
1894-08-15,-0.24
1894-09-15,-0.28
1894-10-15,-0.23
1894-11-15,-0.26
1894-12-15,-0.21
1895-01-15,-0.41
1895-02-15,-0.43
1895-03-15,-0.33
1895-04-15,-0.22
1895-05-15,-0.27
1895-06-15,-0.21
1895-07-15,-0.17
1895-08-15,-0.17
1895-09-15,-0.12
1895-10-15,-0.11
1895-11-15,-0.17
1895-12-15,-0.14
1896-01-15,-0.22
1896-02-15,-0.12
1896-03-15,-0.26
1896-04-15,-0.3
1896-05-15,-0.15
1896-06-15,-0.11
1896-07-15,-0.02
1896-08-15,-0.05
1896-09-15,-0.07
1896-10-15,0.06
1896-11-15,-0.04
1896-12-15,-0.04
1897-01-15,-0.15
1897-02-15,-0.16
1897-03-15,-0.13
1897-04-15,-0.02
1897-05-15,-0.01
1897-06-15,-0.11
1897-07-15,-0.02
1897-08-15,-0.09
1897-09-15,-0.08
1897-10-15,-0.13
1897-11-15,-0.18
1897-12-15,-0.2
1898-01-15,-0.02
1898-02-15,-0.3
1898-03-15,-0.51
1898-04-15,-0.31
1898-05-15,-0.3
1898-06-15,-0.19
1898-07-15,-0.23
1898-08-15,-0.27
1898-09-15,-0.21
1898-10-15,-0.34
1898-11-15,-0.38
1898-12-15,-0.23
1899-01-15,-0.16
1899-02-15,-0.38
1899-03-15,-0.35
1899-04-15,-0.19
1899-05-15,-0.23
1899-06-15,-0.31
1899-07-15,-0.15
1899-08-15,-0.08
1899-09-15,-0.04
1899-10-15,-0.03
1899-11-15,0.13
1899-12-15,-0.26
1900-01-15,-0.36
1900-02-15,-0.05
1900-03-15,0.01
1900-04-15,-0.08
1900-05-15,-0.08
1900-06-15,-0.1
1900-07-15,-0.12
1900-08-15,-0.09
1900-09-15,-0.05
1900-10-15,0.1
1900-11-15,-0.07
1900-12-15,-0.06
1901-01-15,-0.21
1901-02-15,-0.11
1901-03-15,0.06
1901-04-15,-0.02
1901-05-15,-0.15
1901-06-15,-0.11
1901-07-15,-0.14
1901-08-15,-0.2
1901-09-15,-0.22
1901-10-15,-0.29
1901-11-15,-0.16
1901-12-15,-0.26
1902-01-15,-0.16
1902-02-15,-0.08
1902-03-15,-0.26
1902-04-15,-0.27
1902-05-15,-0.32
1902-06-15,-0.31
1902-07-15,-0.27
1902-08-15,-0.3
1902-09-15,-0.28
1902-10-15,-0.29
1902-11-15,-0.36
1902-12-15,-0.41
1903-01-15,-0.24
1903-02-15,-0.06
1903-03-15,-0.23
1903-04-15,-0.41
1903-05-15,-0.39
1903-06-15,-0.42
1903-07-15,-0.34
1903-08-15,-0.45
1903-09-15,-0.49
1903-10-15,-0.46
1903-11-15,-0.41
1903-12-15,-0.5
1904-01-15,-0.62
1904-02-15,-0.58
1904-03-15,-0.5
1904-04-15,-0.5
1904-05-15,-0.51
1904-06-15,-0.48
1904-07-15,-0.51
1904-08-15,-0.49
1904-09-15,-0.55
1904-10-15,-0.39
1904-11-15,-0.17
1904-12-15,-0.33
1905-01-15,-0.34
1905-02-15,-0.59
1905-03-15,-0.21
1905-04-15,-0.34
1905-05-15,-0.29
1905-06-15,-0.28
1905-07-15,-0.26
1905-08-15,-0.2
1905-09-15,-0.19
1905-10-15,-0.25
1905-11-15,-0.07
1905-12-15,-0.12
1906-01-15,-0.28
1906-02-15,-0.29
1906-03-15,-0.18
1906-04-15,-0.05
1906-05-15,-0.26
1906-06-15,-0.2
1906-07-15,-0.23
1906-08-15,-0.2
1906-09-15,-0.28
1906-10-15,-0.2
1906-11-15,-0.38
1906-12-15,-0.14
1907-01-15,-0.43
1907-02-15,-0.51
1907-03-15,-0.27
1907-04-15,-0.37
1907-05-15,-0.46
1907-06-15,-0.42
1907-07-15,-0.35
1907-08-15,-0.34
1907-09-15,-0.34
1907-10-15,-0.22
1907-11-15,-0.46
1907-12-15,-0.47
1908-01-15,-0.44
1908-02-15,-0.32
1908-03-15,-0.55
1908-04-15,-0.44
1908-05-15,-0.37
1908-06-15,-0.38
1908-07-15,-0.34
1908-08-15,-0.46
1908-09-15,-0.35
1908-10-15,-0.44
1908-11-15,-0.52
1908-12-15,-0.49
1909-01-15,-0.72
1909-02-15,-0.45
1909-03-15,-0.54
1909-04-15,-0.58
1909-05-15,-0.54
1909-06-15,-0.52
1909-07-15,-0.45
1909-08-15,-0.34
1909-09-15,-0.38
1909-10-15,-0.39
1909-11-15,-0.32
1909-12-15,-0.56
1910-01-15,-0.42
1910-02-15,-0.4
1910-03-15,-0.5
1910-04-15,-0.42
1910-05-15,-0.34
1910-06-15,-0.38
1910-07-15,-0.34
1910-08-15,-0.37
1910-09-15,-0.38
1910-10-15,-0.41
1910-11-15,-0.57
1910-12-15,-0.67
1911-01-15,-0.62
1911-02-15,-0.58
1911-03-15,-0.6
1911-04-15,-0.54
1911-05-15,-0.51
1911-06-15,-0.5
1911-07-15,-0.42
1911-08-15,-0.43
1911-09-15,-0.4
1911-10-15,-0.26
1911-11-15,-0.21
1911-12-15,-0.21
1912-01-15,-0.27
1912-02-15,-0.16
1912-03-15,-0.39
1912-04-15,-0.18
1912-05-15,-0.22
1912-06-15,-0.24
1912-07-15,-0.42
1912-08-15,-0.55
1912-09-15,-0.57
1912-10-15,-0.58
1912-11-15,-0.39
1912-12-15,-0.43
1913-01-15,-0.41
1913-02-15,-0.45
1913-03-15,-0.43
1913-04-15,-0.4
1913-05-15,-0.44
1913-06-15,-0.45
1913-07-15,-0.36
1913-08-15,-0.33
1913-09-15,-0.34
1913-10-15,-0.32
1913-11-15,-0.2
1913-12-15,-0.03
1914-01-15,0.04
1914-02-15,-0.1
1914-03-15,-0.24
1914-04-15,-0.3
1914-05-15,-0.21
1914-06-15,-0.25
1914-07-15,-0.24
1914-08-15,-0.16
1914-09-15,-0.16
1914-10-15,-0.03
1914-11-15,-0.15
1914-12-15,-0.04
1915-01-15,-0.21
1915-02-15,-0.04
1915-03-15,-0.1
1915-04-15,0.06
1915-05-15,-0.07
1915-06-15,-0.22
1915-07-15,-0.13
1915-08-15,-0.22
1915-09-15,-0.2
1915-10-15,-0.24
1915-11-15,-0.13
1915-12-15,-0.21
1916-01-15,-0.13
1916-02-15,-0.15
1916-03-15,-0.28
1916-04-15,-0.3
1916-05-15,-0.35
1916-06-15,-0.49
1916-07-15,-0.37
1916-08-15,-0.28
1916-09-15,-0.36
1916-10-15,-0.34
1916-11-15,-0.46
1916-12-15,-0.81
1917-01-15,-0.57
1917-02-15,-0.63
1917-03-15,-0.63
1917-04-15,-0.54
1917-05-15,-0.54
1917-06-15,-0.43
1917-07-15,-0.25
1917-08-15,-0.22
1917-09-15,-0.22
1917-10-15,-0.44
1917-11-15,-0.33
1917-12-15,-0.67
1918-01-15,-0.47
1918-02-15,-0.34
1918-03-15,-0.25
1918-04-15,-0.44
1918-05-15,-0.43
1918-06-15,-0.36
1918-07-15,-0.32
1918-08-15,-0.31
1918-09-15,-0.17
1918-10-15,-0.06
1918-11-15,-0.11
1918-12-15,-0.29
1919-01-15,-0.2
1919-02-15,-0.23
1919-03-15,-0.21
1919-04-15,-0.12
1919-05-15,-0.28
1919-06-15,-0.36
1919-07-15,-0.29
1919-08-15,-0.33
1919-09-15,-0.25
1919-10-15,-0.2
1919-11-15,-0.42
1919-12-15,-0.42
1920-01-15,-0.24
1920-02-15,-0.27
1920-03-15,-0.12
1920-04-15,-0.24
1920-05-15,-0.27
1920-06-15,-0.36
1920-07-15,-0.3
1920-08-15,-0.26
1920-09-15,-0.21
1920-10-15,-0.26
1920-11-15,-0.26
1920-12-15,-0.46
1921-01-15,-0.05
1921-02-15,-0.18
1921-03-15,-0.23
1921-04-15,-0.3
1921-05-15,-0.3
1921-06-15,-0.27
1921-07-15,-0.15
1921-08-15,-0.26
1921-09-15,-0.18
1921-10-15,-0.03
1921-11-15,-0.14
1921-12-15,-0.17
1922-01-15,-0.33
1922-02-15,-0.44
1922-03-15,-0.14
1922-04-15,-0.23
1922-05-15,-0.32
1922-06-15,-0.3
1922-07-15,-0.27
1922-08-15,-0.33
1922-09-15,-0.35
1922-10-15,-0.31
1922-11-15,-0.14
1922-12-15,-0.19
1923-01-15,-0.27
1923-02-15,-0.39
1923-03-15,-0.34
1923-04-15,-0.4
1923-05-15,-0.33
1923-06-15,-0.29
1923-07-15,-0.31
1923-08-15,-0.34
1923-09-15,-0.31
1923-10-15,-0.13
1923-11-15,-0.02
1923-12-15,-0.03
1924-01-15,-0.22
1924-02-15,-0.23
1924-03-15,-0.08
1924-04-15,-0.3
1924-05-15,-0.18
1924-06-15,-0.26
1924-07-15,-0.29
1924-08-15,-0.36
1924-09-15,-0.32
1924-10-15,-0.35
1924-11-15,-0.2
1924-12-15,-0.43
1925-01-15,-0.37
1925-02-15,-0.39
1925-03-15,-0.27
1925-04-15,-0.25
1925-05-15,-0.29
1925-06-15,-0.33
1925-07-15,-0.27
1925-08-15,-0.21
1925-09-15,-0.19
1925-10-15,-0.17
1925-11-15,0.05
1925-12-15,0.06
1926-01-15,0.21
1926-02-15,0.03
1926-03-15,0.11
1926-04-15,-0.13
1926-05-15,-0.23
1926-06-15,-0.26
1926-07-15,-0.27
1926-08-15,-0.13
1926-09-15,-0.14
1926-10-15,-0.11
1926-11-15,-0.06
1926-12-15,-0.29
1927-01-15,-0.27
1927-02-15,-0.17
1927-03-15,-0.39
1927-04-15,-0.3
1927-05-15,-0.26
1927-06-15,-0.27
1927-07-15,-0.19
1927-08-15,-0.24
1927-09-15,-0.12
1927-10-15,-0.01
1927-11-15,-0.05
1927-12-15,-0.33
1928-01-15,-0.02
1928-02-15,-0.09
1928-03-15,-0.25
1928-04-15,-0.28
1928-05-15,-0.3
1928-06-15,-0.39
1928-07-15,-0.19
1928-08-15,-0.22
1928-09-15,-0.21
1928-10-15,-0.19
1928-11-15,-0.09
1928-12-15,-0.16
1929-01-15,-0.45
1929-02-15,-0.58
1929-03-15,-0.32
1929-04-15,-0.41
1929-05-15,-0.38
1929-06-15,-0.43
1929-07-15,-0.36
1929-08-15,-0.32
1929-09-15,-0.25
1929-10-15,-0.14
1929-11-15,-0.11
1929-12-15,-0.54
1930-01-15,-0.3
1930-02-15,-0.26
1930-03-15,-0.1
1930-04-15,-0.24
1930-05-15,-0.24
1930-06-15,-0.22
1930-07-15,-0.21
1930-08-15,-0.15
1930-09-15,-0.15
1930-10-15,-0.11
1930-11-15,0.18
1930-12-15,-0.05
1931-01-15,-0.1
1931-02-15,-0.2
1931-03-15,-0.1
1931-04-15,-0.23
1931-05-15,-0.19
1931-06-15,-0.08
1931-07-15,-0.03
1931-08-15,-0.03
1931-09-15,-0.06
1931-10-15,0.06
1931-11-15,-0.05
1931-12-15,-0.05
1932-01-15,0.16
1932-02-15,-0.16
1932-03-15,-0.18
1932-04-15,-0.05
1932-05-15,-0.17
1932-06-15,-0.28
1932-07-15,-0.24
1932-08-15,-0.21
1932-09-15,-0.1
1932-10-15,-0.09
1932-11-15,-0.27
1932-12-15,-0.26
1933-01-15,-0.23
1933-02-15,-0.29
1933-03-15,-0.29
1933-04-15,-0.24
1933-05-15,-0.28
1933-06-15,-0.33
1933-07-15,-0.21
1933-08-15,-0.23
1933-09-15,-0.28
1933-10-15,-0.24
1933-11-15,-0.3
1933-12-15,-0.44
1934-01-15,-0.2
1934-02-15,-0.02
1934-03-15,-0.28
1934-04-15,-0.3
1934-05-15,-0.09
1934-06-15,-0.15
1934-07-15,-0.1
1934-08-15,-0.12
1934-09-15,-0.14
1934-10-15,-0.06
1934-11-15,0.04
1934-12-15,-0.02
1935-01-15,-0.33
1935-02-15,0.15
1935-03-15,-0.14
1935-04-15,-0.37
1935-05-15,-0.28
1935-06-15,-0.26
1935-07-15,-0.21
1935-08-15,-0.22
1935-09-15,-0.21
1935-10-15,-0.06
1935-11-15,-0.25
1935-12-15,-0.16
1936-01-15,-0.27
1936-02-15,-0.37
1936-03-15,-0.2
1936-04-15,-0.2
1936-05-15,-0.16
1936-06-15,-0.21
1936-07-15,-0.09
1936-08-15,-0.13
1936-09-15,-0.08
1936-10-15,-0.02
1936-11-15,0.02
1936-12-15,0
1937-01-15,-0.07
1937-02-15,0.03
1937-03-15,-0.2
1937-04-15,-0.15
1937-05-15,-0.05
1937-06-15,-0.04
1937-07-15,-0.03
1937-08-15,0.02
1937-09-15,0.1
1937-10-15,0.09
1937-11-15,0.08
1937-12-15,-0.07
1938-01-15,0.09
1938-02-15,0.04
1938-03-15,0.1
1938-04-15,0.07
1938-05-15,-0.09
1938-06-15,-0.17
1938-07-15,-0.09
1938-08-15,-0.05
1938-09-15,0.01
1938-10-15,0.15
1938-11-15,0.08
1938-12-15,-0.12
1939-01-15,-0.05
1939-02-15,-0.06
1939-03-15,-0.17
1939-04-15,-0.1
1939-05-15,-0.04
1939-06-15,-0.07
1939-07-15,-0.05
1939-08-15,-0.06
1939-09-15,-0.07
1939-10-15,-0.03
1939-11-15,0.08
1939-12-15,0.43
1940-01-15,0
1940-02-15,0.08
1940-03-15,0.09
1940-04-15,0.18
1940-05-15,0.11
1940-06-15,0.12
1940-07-15,0.13
1940-08-15,0.07
1940-09-15,0.15
1940-10-15,0.11
1940-11-15,0.16
1940-12-15,0.31
1941-01-15,0.18
1941-02-15,0.31
1941-03-15,0.1
1941-04-15,0.16
1941-05-15,0.17
1941-06-15,0.13
1941-07-15,0.22
1941-08-15,0.15
1941-09-15,0.02
1941-10-15,0.35
1941-11-15,0.23
1941-12-15,0.22
1942-01-15,0.29
1942-02-15,0.02
1942-03-15,0.05
1942-04-15,0.09
1942-05-15,0.11
1942-06-15,0.05
1942-07-15,0
1942-08-15,-0.04
1942-09-15,-0.03
1942-10-15,0.02
1942-11-15,0.09
1942-12-15,0.13
1943-01-15,-0.01
1943-02-15,0.18
1943-03-15,-0.03
1943-04-15,0.11
1943-05-15,0.07
1943-06-15,-0.05
1943-07-15,0.09
1943-08-15,0
1943-09-15,0.05
1943-10-15,0.23
1943-11-15,0.2
1943-12-15,0.23
1944-01-15,0.36
1944-02-15,0.24
1944-03-15,0.26
1944-04-15,0.19
1944-05-15,0.19
1944-06-15,0.15
1944-07-15,0.18
1944-08-15,0.18
1944-09-15,0.28
1944-10-15,0.26
1944-11-15,0.11
1944-12-15,0.04
1945-01-15,0.1
1945-02-15,0.01
1945-03-15,0.06
1945-04-15,0.19
1945-05-15,0.06
1945-06-15,0.01
1945-07-15,0.04
1945-08-15,0.26
1945-09-15,0.2
1945-10-15,0.18
1945-11-15,0.07
1945-12-15,-0.07
1946-01-15,0.15
1946-02-15,0.03
1946-03-15,0.01
1946-04-15,0.06
1946-05-15,-0.07
1946-06-15,-0.21
1946-07-15,-0.12
1946-08-15,-0.2
1946-09-15,-0.07
1946-10-15,-0.08
1946-11-15,-0.05
1946-12-15,-0.31
1947-01-15,-0.06
1947-02-15,-0.08
1947-03-15,0.07
1947-04-15,0.06
1947-05-15,-0.02
1947-06-15,-0.02
1947-07-15,-0.04
1947-08-15,-0.07
1947-09-15,-0.12
1947-10-15,0.07
1947-11-15,0.03
1947-12-15,-0.13
1948-01-15,0.07
1948-02-15,-0.14
1948-03-15,-0.24
1948-04-15,-0.12
1948-05-15,-0.01
1948-06-15,-0.05
1948-07-15,-0.11
1948-08-15,-0.12
1948-09-15,-0.14
1948-10-15,-0.05
1948-11-15,-0.12
1948-12-15,-0.23
1949-01-15,0.07
1949-02-15,-0.14
1949-03-15,-0.02
1949-04-15,-0.11
1949-05-15,-0.1
1949-06-15,-0.27
1949-07-15,-0.13
1949-08-15,-0.13
1949-09-15,-0.14
1949-10-15,-0.06
1949-11-15,-0.1
1949-12-15,-0.18
1950-01-15,-0.26
1950-02-15,-0.26
1950-03-15,-0.07
1950-04-15,-0.21
1950-05-15,-0.11
1950-06-15,-0.05
1950-07-15,-0.08
1950-08-15,-0.16
1950-09-15,-0.11
1950-10-15,-0.2
1950-11-15,-0.34
1950-12-15,-0.22
1951-01-15,-0.34
1951-02-15,-0.41
1951-03-15,-0.2
1951-04-15,-0.14
1951-05-15,0
1951-06-15,-0.06
1951-07-15,-0.01
1951-08-15,0.06
1951-09-15,0.05
1951-10-15,0.08
1951-11-15,-0.01
1951-12-15,0.16
1952-01-15,0.11
1952-02-15,0.11
1952-03-15,-0.08
1952-04-15,0.03
1952-05-15,-0.03
1952-06-15,-0.03
1952-07-15,0.04
1952-08-15,0.05
1952-09-15,0.07
1952-10-15,0
1952-11-15,-0.13
1952-12-15,-0.02
1953-01-15,0.07
1953-02-15,0.15
1953-03-15,0.11
1953-04-15,0.19
1953-05-15,0.11
1953-06-15,0.12
1953-07-15,0.01
1953-08-15,0.05
1953-09-15,0.05
1953-10-15,0.08
1953-11-15,-0.03
1953-12-15,0.05
1954-01-15,-0.24
1954-02-15,-0.1
1954-03-15,-0.15
1954-04-15,-0.14
1954-05-15,-0.2
1954-06-15,-0.19
1954-07-15,-0.19
1954-08-15,-0.18
1954-09-15,-0.1
1954-10-15,-0.02
1954-11-15,0.08
1954-12-15,-0.18
1955-01-15,0.13
1955-02-15,-0.16
1955-03-15,-0.32
1955-04-15,-0.22
1955-05-15,-0.2
1955-06-15,-0.14
1955-07-15,-0.11
1955-08-15,0.02
1955-09-15,-0.11
1955-10-15,-0.05
1955-11-15,-0.25
1955-12-15,-0.28
1956-01-15,-0.13
1956-02-15,-0.24
1956-03-15,-0.21
1956-04-15,-0.28
1956-05-15,-0.29
1956-06-15,-0.15
1956-07-15,-0.09
1956-08-15,-0.26
1956-09-15,-0.19
1956-10-15,-0.23
1956-11-15,-0.15
1956-12-15,-0.06
1957-01-15,-0.09
1957-02-15,-0.03
1957-03-15,-0.05
1957-04-15,0
1957-05-15,0.09
1957-06-15,0.16
1957-07-15,0.02
1957-08-15,0.15
1957-09-15,0.09
1957-10-15,0.01
1957-11-15,0.08
1957-12-15,0.15
1958-01-15,0.39
1958-02-15,0.22
1958-03-15,0.08
1958-04-15,0.01
1958-05-15,0.06
1958-06-15,-0.08
1958-07-15,0.05
1958-08-15,-0.05
1958-09-15,-0.02
1958-10-15,0.04
1958-11-15,0.02
1958-12-15,0.01
1959-01-15,0.08
1959-02-15,0.07
1959-03-15,0.18
1959-04-15,0.16
1959-05-15,0.04
1959-06-15,0.03
1959-07-15,0.03
1959-08-15,-0.01
1959-09-15,-0.06
1959-10-15,-0.07
1959-11-15,-0.08
1959-12-15,0
1960-01-15,0
1960-02-15,0.13
1960-03-15,-0.35
1960-04-15,-0.15
1960-05-15,-0.08
1960-06-15,-0.04
1960-07-15,-0.04
1960-08-15,0.02
1960-09-15,0.07
1960-10-15,0.06
1960-11-15,-0.11
1960-12-15,0.19
1961-01-15,0.07
1961-02-15,0.19
1961-03-15,0.09
1961-04-15,0.13
1961-05-15,0.12
1961-06-15,0.11
1961-07-15,0.01
1961-08-15,0.01
1961-09-15,0.08
1961-10-15,0
1961-11-15,0.03
1961-12-15,-0.16
1962-01-15,0.05
1962-02-15,0.15
1962-03-15,0.1
1962-04-15,0.05
1962-05-15,-0.06
1962-06-15,0.03
1962-07-15,0.02
1962-08-15,-0.01
1962-09-15,0
1962-10-15,0.01
1962-11-15,0.06
1962-12-15,-0.03
1963-01-15,-0.03
1963-02-15,0.18
1963-03-15,-0.14
1963-04-15,-0.07
1963-05-15,-0.06
1963-06-15,0.05
1963-07-15,0.06
1963-08-15,0.23
1963-09-15,0.17
1963-10-15,0.14
1963-11-15,0.15
1963-12-15,-0.03
1964-01-15,-0.09
1964-02-15,-0.1
1964-03-15,-0.21
1964-04-15,-0.32
1964-05-15,-0.25
1964-06-15,-0.04
1964-07-15,-0.04
1964-08-15,-0.22
1964-09-15,-0.29
1964-10-15,-0.31
1964-11-15,-0.21
1964-12-15,-0.29
1965-01-15,-0.08
1965-02-15,-0.17
1965-03-15,-0.13
1965-04-15,-0.19
1965-05-15,-0.12
1965-06-15,-0.08
1965-07-15,-0.13
1965-08-15,-0.04
1965-09-15,-0.15
1965-10-15,-0.05
1965-11-15,-0.06
1965-12-15,-0.08
1966-01-15,-0.19
1966-02-15,-0.04
1966-03-15,0.03
1966-04-15,-0.13
1966-05-15,-0.12
1966-06-15,0.01
1966-07-15,0.08
1966-08-15,-0.08
1966-09-15,-0.03
1966-10-15,-0.17
1966-11-15,-0.01
1966-12-15,-0.03
1967-01-15,-0.07
1967-02-15,-0.21
1967-03-15,0.05
1967-04-15,-0.05
1967-05-15,0.12
1967-06-15,-0.08
1967-07-15,0.02
1967-08-15,0.01
1967-09-15,-0.06
1967-10-15,0.09
1967-11-15,-0.05
1967-12-15,-0.05
1968-01-15,-0.26
1968-02-15,-0.14
1968-03-15,0.2
1968-04-15,-0.06
1968-05-15,-0.14
1968-06-15,-0.09
1968-07-15,-0.13
1968-08-15,-0.09
1968-09-15,-0.19
1968-10-15,0.09
1968-11-15,-0.05
1968-12-15,-0.14
1969-01-15,-0.11
1969-02-15,-0.18
1969-03-15,0.01
1969-04-15,0.17
1969-05-15,0.18
1969-06-15,0.03
1969-07-15,-0.04
1969-08-15,0.04
1969-09-15,0.08
1969-10-15,0.09
1969-11-15,0.12
1969-12-15,0.24
1970-01-15,0.08
1970-02-15,0.22
1970-03-15,0.06
1970-04-15,0.05
1970-05-15,-0.03
1970-06-15,-0.03
1970-07-15,0.01
1970-08-15,-0.1
1970-09-15,0.12
1970-10-15,0.03
1970-11-15,0.02
1970-12-15,-0.12
1971-01-15,-0.02
1971-02-15,-0.15
1971-03-15,-0.18
1971-04-15,-0.07
1971-05-15,-0.05
1971-06-15,-0.17
1971-07-15,-0.08
1971-08-15,-0.01
1971-09-15,-0.06
1971-10-15,-0.04
1971-11-15,-0.07
1971-12-15,-0.08
1972-01-15,-0.22
1972-02-15,-0.18
1972-03-15,0.02
1972-04-15,0
1972-05-15,-0.03
1972-06-15,0.04
1972-07-15,0.01
1972-08-15,0.16
1972-09-15,0.02
1972-10-15,0.08
1972-11-15,0.02
1972-12-15,0.18
1973-01-15,0.29
1973-02-15,0.32
1973-03-15,0.29
1973-04-15,0.27
1973-05-15,0.23
1973-06-15,0.19
1973-07-15,0.13
1973-08-15,0.05
1973-09-15,0.09
1973-10-15,0.1
1973-11-15,0.05
1973-12-15,-0.07
1974-01-15,-0.1
1974-02-15,-0.26
1974-03-15,-0.05
1974-04-15,-0.11
1974-05-15,-0.04
1974-06-15,-0.05
1974-07-15,-0.03
1974-08-15,0.1
1974-09-15,-0.08
1974-10-15,-0.05
1974-11-15,-0.08
1974-12-15,-0.08
1975-01-15,0.1
1975-02-15,0.08
1975-03-15,0.12
1975-04-15,0.04
1975-05-15,0.16
1975-06-15,-0.01
1975-07-15,-0.01
1975-08-15,-0.17
1975-09-15,-0.03
1975-10-15,-0.11
1975-11-15,-0.17
1975-12-15,-0.17
1976-01-15,-0.03
1976-02-15,-0.06
1976-03-15,-0.22
1976-04-15,-0.07
1976-05-15,-0.21
1976-06-15,-0.12
1976-07-15,-0.1
1976-08-15,-0.12
1976-09-15,-0.07
1976-10-15,-0.24
1976-11-15,-0.06
1976-12-15,0.11
1977-01-15,0.18
1977-02-15,0.22
1977-03-15,0.24
1977-04-15,0.26
1977-05-15,0.33
1977-06-15,0.27
1977-07-15,0.2
1977-08-15,0.18
1977-09-15,0.02
1977-10-15,0.03
1977-11-15,0.16
1977-12-15,0.03
1978-01-15,0.06
1978-02-15,0.1
1978-03-15,0.19
1978-04-15,0.17
1978-05-15,0.09
1978-06-15,-0.01
1978-07-15,0.04
1978-08-15,-0.13
1978-09-15,0.06
1978-10-15,0.03
1978-11-15,0.14
1978-12-15,0.08
